⏹电视综合▶,#genre#
云南卫视,http://118.122.103.228:4022/udp/239.93.1.174:5140
云南卫视,http://118.122.103.228:4022/udp/239.93.1.168:5140
浙江卫视,http://118.122.103.228:4022/udp/239.93.0.124:5140
浙江卫视,http://118.122.103.228:4022/udp/239.93.1.6:5140
重庆卫视,http://118.122.103.228:4022/udp/239.93.1.107:5140
重庆卫视,http://118.122.103.228:4022/udp/239.93.0.119:5140


CDTV-1成都综合,http://118.122.103.228:4022/udp/239.93.0.16:5140
CDTV-1成都综合,http://118.122.103.228:4022/udp/239.93.1.58:5140
CDTV-2成都经济,http://118.122.103.228:4022/udp/239.93.0.17:1239
CDTV-2成都经济,http://118.122.103.228:4022/udp/239.93.0.137:5140
CDTV-3成都生活,http://118.122.103.228:4022/udp/239.93.0.18:1238
CDTV-3成都生活,http://118.122.103.228:4022/udp/239.93.0.153:5140
CDTV-4成都影视,http://118.122.103.228:4022/udp/239.93.0.19:1250
CDTV-4成都影视,http://118.122.103.228:4022/udp/239.93.1.118:5140
CDTV-5成都公共,http://118.122.103.228:4022/udp/239.93.1.231:5140
CDTV-5成都公共,http://118.122.103.228:4022/udp/239.93.1.57:5140
CDTV-6成都少儿,http://118.122.103.228:4022/udp/239.93.0.21:1251
CDTV-6成都少儿,http://118.122.103.228:4022/udp/239.93.1.119:5140
CDTV-8成都每日购物,http://118.122.103.228:4022/udp/239.93.0.22:1252
CDTV-8成都每日购物,http://118.122.103.228:4022/udp/239.93.1.121:5140
CDTV成都蓉城先锋,http://118.122.103.228:4022/udp/239.93.0.91:2101
CDTV成都蓉城先锋,http://118.122.103.228:4022/udp/239.93.1.138:5140
i成都,http://118.122.103.228:4022/udp/239.93.1.104:1234


BesTV01,http://118.122.103.228:4022/udp/239.93.0.105:5140
BesTV02,http://118.122.103.228:4022/udp/239.93.0.138:5140
BesTV03,http://118.122.103.228:4022/udp/239.93.0.139:5140
BesTV04,http://118.122.103.228:4022/udp/239.93.0.140:5140
BesTV05,http://118.122.103.228:4022/udp/239.93.0.144:5140
BesTV06,http://118.122.103.228:4022/udp/239.93.0.146:5140
BesTV07,http://118.122.103.228:4022/udp/239.93.0.147:5140
BesTV08,http://118.122.103.228:4022/udp/239.93.0.151:5140
BesTV09,http://118.122.103.228:4022/udp/239.93.0.95:5140
BesTV导视01,http://118.122.103.228:4022/udp/239.93.0.129:5140
BesTV导视02,http://118.122.103.228:4022/udp/239.93.0.34:5140
BesTV导视03,http://118.122.103.228:4022/udp/239.93.1.243:5140
BesTV导视04,http://118.122.103.228:4022/udp/239.93.1.5:5140
BesTV导视05,http://118.122.103.228:4022/udp/239.93.1.39:5140
BesTV体育01,http://118.122.103.228:4022/udp/239.93.1.183:5140
BesTV体育02,http://118.122.103.228:4022/udp/239.93.1.184:5140
BesTV直播01,http://118.122.103.228:4022/udp/239.93.1.180:5140
BesTV直播02,http://118.122.103.228:4022/udp/239.93.1.181:5140
BesTV直播03,http://118.122.103.228:4022/udp/239.93.1.182:5140
BesTV直播04,http://118.122.103.228:4022/udp/239.93.1.185:5140
BesTV直播05,http://118.122.103.228:4022/udp/239.93.1.186:5140
BesTV直播06,http://118.122.103.228:4022/udp/239.93.1.187:5140
CETV1,http://118.122.103.228:4022/udp/239.93.1.111:5140
CETV1,http://118.122.103.228:4022/udp/239.93.1.75:5140
CETV2,http://118.122.103.228:4022/udp/239.93.0.113:5140
CETV4,http://118.122.103.228:4022/udp/239.93.0.133:5140
CETV4,http://118.122.103.228:4022/udp/239.93.0.50:5140
CETV4,http://118.122.103.228:4022/udp/239.93.1.81:5140
CETV早期教育,http://118.122.103.228:4022/udp/239.93.0.117:5140
CNTV电影,http://118.122.103.228:4022/udp/239.93.0.202:9068
CNTV电影,http://118.122.103.228:4022/udp/239.93.0.77:5140
CNTV电影,http://118.122.103.228:4022/udp/239.93.1.221:5140
IPTV01,http://118.122.103.228:4022/udp/239.93.0.94:5140
IPTV02,http://118.122.103.228:4022/udp/239.93.0.57:9024
IPTV03,http://118.122.103.228:4022/udp/239.93.0.43:5140
IPTV04,http://118.122.103.228:4022/udp/239.93.0.190:9012
IPTV05,http://118.122.103.228:4022/udp/239.93.0.56:9020
IPTV06,http://118.122.103.228:4022/udp/239.93.0.193:9000
IPTV07,http://118.122.103.228:4022/udp/239.93.0.172:5140
IPTV08,http://118.122.103.228:4022/udp/239.93.0.214:5140
IPTV09,http://118.122.103.228:4022/udp/239.93.0.220:5140
IPTV10,http://118.122.103.228:4022/udp/239.93.0.231:5140
IPTV12,http://118.122.103.228:4022/udp/239.93.1.110:5140
IPTV14,http://118.122.103.228:4022/udp/239.93.1.189:5140
IPTV16,http://118.122.103.228:4022/udp/239.93.1.37:5140
IPTV19,http://118.122.103.228:4022/udp/239.93.1.190:5140
IPTV20,http://118.122.103.228:4022/udp/239.93.1.22:5140
IPTV21,http://118.122.103.228:4022/udp/239.93.1.35:5140
IPTV23,http://118.122.103.228:4022/udp/239.93.1.47:5140
IPTV24,http://118.122.103.228:4022/udp/239.93.1.49:5140
IPTV25,http://118.122.103.228:4022/udp/239.93.1.82:5140
IPTV26,http://118.122.103.228:4022/udp/239.93.1.93:5140
IPTV测试01,http://118.122.103.228:4022/udp/239.93.0.126:5140
IPTV测试02,http://118.122.103.228:4022/udp/239.93.0.97:5140
IPTV测试03,http://118.122.103.228:4022/udp/239.93.1.219:5140
IPTV测试04,http://118.122.103.228:4022/udp/239.93.1.69:5140
晴彩,http://118.122.103.228:4022/udp/239.93.1.56:5140
爱喜剧,http://118.122.103.228:4022/udp/239.93.1.59:5140
北京纪实科教,http://118.122.103.228:4022/udp/239.93.0.152:5140
兵器面观,http://118.122.103.228:4022/udp/239.93.0.204:9076
兵器面观,http://118.122.103.228:4022/udp/239.93.0.71:5140
兵器面观,http://118.122.103.228:4022/udp/239.93.1.223:5140
茶频道,http://118.122.103.228:4022/udp/239.93.0.114:5140
稻城亚丁-直播,http://118.122.103.228:4022/udp/239.93.1.245:5140
稻城亚丁-直播,http://118.122.103.228:4022/udp/239.93.0.209:5140
电竞,http://118.122.103.228:4022/udp/239.93.1.135:5140
哈哈炫动,http://118.122.103.228:4022/udp/239.93.0.173:5140
哈哈炫动,http://118.122.103.228:4022/udp/239.93.0.33:5140
